emergency_id,ambulance_id,distance_weight,travel_time_min,ambulance_free_at
454,5,3.36,4.581818181818181,2025-01-01 01:15:34
443,3,6.93,9.995192307692307,2025-01-01 02:51:59
406,14,1.26,1.7663551401869155,2025-01-01 04:52:45
259,13,4.01,6.075757575757575,2025-01-01 05:45:04
334,15,2.28,3.257142857142857,2025-01-01 07:01:15
273,2,3.47,5.153465346534654,2025-01-01 07:32:09
456,7,2.34,3.4077669902912615,2025-01-01 10:11:24
275,13,3.3900000000000006,5.136363636363637,2025-01-01 12:34:08
475,14,3.2,4.485981308411215,2025-01-01 15:07:29
269,10,2.29,3.7747252747252746,2025-01-01 15:26:46
448,14,0.74,1.0373831775700935,2025-01-01 17:48:02
48,4,1.33,2.1,2025-01-01 23:21:06
297,14,5.17,7.247663551401868,2025-01-02 00:56:14
219,14,5.890000000000001,8.257009345794394,2025-01-02 01:26:15
53,15,1.6199999999999999,2.314285714285714,2025-01-02 04:11:18
145,15,2.17,3.1,2025-01-02 06:50:06
205,6,0.0,0.0,2025-01-02 06:59:00
79,13,2.1,3.181818181818182,2025-01-02 07:40:10
177,10,6.49,10.697802197802199,2025-01-02 10:10:41
241,15,5.54,7.914285714285715,2025-01-02 10:36:54
292,13,1.29,1.9545454545454546,2025-01-02 10:40:57
424,6,6.83,9.399082568807339,2025-01-02 11:51:23
178,5,3.36,4.581818181818181,2025-01-02 14:04:34
495,6,0.0,0.0,2025-01-02 14:37:00
39,14,1.12,1.5700934579439254,2025-01-02 16:39:34
230,5,3.9300000000000006,5.35909090909091,2025-01-02 18:35:21
114,15,3.84,5.485714285714286,2025-01-02 20:53:29
163,12,0.0,0.0,2025-01-02 23:50:00
493,1,2.09,3.135,2025-01-03 00:09:08
400,13,4.86,7.363636363636363,2025-01-03 00:55:21
327,9,0.0,0.0,2025-01-03 01:56:00
9,1,2.29,3.435,2025-01-03 02:17:26
447,4,3.96,6.252631578947368,2025-01-03 04:58:15
22,15,0.65,0.9285714285714286,2025-01-03 05:34:55
221,14,0.0,0.0,2025-01-03 07:12:00
120,4,2.22,3.505263157894737,2025-01-03 09:14:30
55,9,0.0,0.0,2025-01-03 09:14:00
110,2,4.08,6.0594059405940595,2025-01-03 13:27:03
46,9,4.17,6.014423076923077,2025-01-03 18:14:00
308,15,0.6,0.8571428571428571,2025-01-03 18:34:51
283,13,6.789999999999999,10.287878787878785,2025-01-03 19:37:17
276,14,4.7700000000000005,6.686915887850468,2025-01-03 19:57:41
162,8,3.4699999999999998,5.537234042553192,2025-01-03 21:00:32
444,2,3.4099999999999997,5.064356435643564,2025-01-03 21:15:03
291,2,3.05,4.52970297029703,2025-01-03 21:42:31
335,2,2.17,3.2227722772277225,2025-01-04 02:17:13
461,7,4.39,6.393203883495144,2025-01-04 02:49:23
472,15,4.0,5.7142857142857135,2025-01-04 05:38:42
226,2,3.8500000000000005,5.717821782178219,2025-01-04 08:23:43
195,4,1.3599999999999999,2.1473684210526316,2025-01-04 08:35:08
2,4,2.48,3.9157894736842107,2025-01-04 09:46:54
176,15,0.0,0.0,2025-01-04 09:57:00
102,15,5.32,7.6000000000000005,2025-01-04 11:32:36
181,15,0.0,0.0,2025-01-04 11:58:00
374,15,1.44,2.0571428571428574,2025-01-04 12:03:03
353,4,1.66,2.6210526315789475,2025-01-04 12:04:37
129,10,0.0,0.0,2025-01-04 12:17:00
171,2,2.4699999999999998,3.6683168316831685,2025-01-04 14:15:40
479,8,6.26,9.989361702127662,2025-01-04 14:27:59
148,15,0.0,0.0,2025-01-04 14:32:00
347,10,0.0,0.0,2025-01-04 18:18:00
370,13,0.0,0.0,2025-01-04 20:30:00
413,5,2.5700000000000003,3.504545454545455,2025-01-04 20:37:30
430,5,2.2800000000000002,3.1090909090909093,2025-01-04 23:03:06
99,10,0.0,0.0,2025-01-05 00:15:00
286,8,0.0,0.0,2025-01-05 03:19:00
70,9,4.58,6.605769230769231,2025-01-05 03:44:36
82,5,2.18,2.972727272727273,2025-01-05 04:15:58
317,4,4.03,6.363157894736842,2025-01-05 05:05:21
126,5,3.07,4.186363636363636,2025-01-05 06:08:11
345,1,4.46,6.69,2025-01-05 06:13:41
215,2,3.16,4.693069306930693,2025-01-05 09:48:41
65,5,4.08,5.5636363636363635,2025-01-05 12:24:33
45,4,2.96,4.673684210526316,2025-01-05 12:35:40
464,9,2.61,3.7644230769230766,2025-01-05 13:47:45
302,1,5.33,7.995,2025-01-05 14:19:59
396,4,4.75,7.5,2025-01-05 18:18:30
19,1,5.33,7.995,2025-01-05 20:36:59
35,5,1.89,2.577272727272727,2025-01-05 22:22:34
300,8,0.0,0.0,2025-01-06 03:15:00
56,5,0.0,0.0,2025-01-06 04:08:00
411,7,5.67,8.257281553398057,2025-01-06 04:54:15
77,13,0.0,0.0,2025-01-06 05:29:00
492,5,4.71,6.422727272727273,2025-01-06 06:04:25
285,1,4.37,6.555,2025-01-06 07:03:33
184,6,2.47,3.39908256880734,2025-01-06 08:40:23
487,12,4.6899999999999995,7.405263157894736,2025-01-06 09:03:24
484,14,3.94,5.523364485981308,2025-01-06 10:32:31
214,12,1.83,2.8894736842105266,2025-01-06 13:51:53
186,14,2.51,3.518691588785046,2025-01-06 14:00:31
202,15,4.869999999999999,6.9571428571428555,2025-01-06 16:49:57
49,1,3.93,5.8950000000000005,2025-01-06 17:37:53
197,6,1.81,2.4908256880733948,2025-01-06 20:12:29
124,1,2.64,3.96,2025-01-06 20:53:57
131,9,3.19,4.600961538461538,2025-01-06 23:12:36
27,15,3.7399999999999998,5.3428571428571425,2025-01-06 23:37:20
287,9,1.69,2.4374999999999996,2025-01-07 00:09:26
366,15,6.460000000000001,9.228571428571431,2025-01-07 00:52:13
295,8,3.54,5.6489361702127665,2025-01-07 01:20:38
223,3,0.0,0.0,2025-01-07 02:17:00
244,9,1.15,1.6586538461538458,2025-01-07 06:50:39
138,15,2.54,3.6285714285714286,2025-01-07 07:13:37
147,12,0.0,0.0,2025-01-07 07:35:00
232,2,2.37,3.51980198019802,2025-01-07 08:43:31
332,15,2.54,3.6285714285714286,2025-01-07 08:55:37
397,1,0.0,0.0,2025-01-07 10:44:00
1,12,3.75,5.921052631578948,2025-01-07 13:32:55
313,5,5.87,8.004545454545456,2025-01-07 13:48:00
146,4,6.16,9.726315789473684,2025-01-07 15:40:43
438,1,5.43,8.145,2025-01-07 15:52:08
252,9,4.86,7.009615384615385,2025-01-07 16:06:00
51,2,4.59,6.816831683168317,2025-01-07 17:16:49
341,15,2.62,3.742857142857143,2025-01-07 18:41:44
311,9,2.9499999999999997,4.2548076923076925,2025-01-07 19:03:15
122,15,2.53,3.6142857142857143,2025-01-07 20:17:36
108,9,1.26,1.8173076923076923,2025-01-07 20:54:49
199,12,7.74,12.221052631578948,2025-01-07 23:20:13
279,9,2.83,4.081730769230769,2025-01-07 23:23:04
180,6,1.91,2.6284403669724767,2025-01-07 23:37:37
85,6,4.07,5.60091743119266,2025-01-08 04:01:36
210,4,6.16,9.726315789473684,2025-01-08 04:48:43
402,9,3.44,4.961538461538462,2025-01-08 06:58:57
233,1,4.39,6.584999999999999,2025-01-08 09:35:35
268,3,6.390000000000001,9.216346153846155,2025-01-08 09:38:12
485,6,4.609999999999999,6.344036697247706,2025-01-08 11:02:20
401,14,3.1799999999999997,4.457943925233645,2025-01-08 11:35:27
284,14,3.1799999999999997,4.457943925233645,2025-01-08 11:47:27
391,1,2.05,3.0749999999999997,2025-01-08 13:44:04
174,6,0.0,0.0,2025-01-08 14:01:00
425,1,0.0,0.0,2025-01-08 15:43:00
12,15,0.0,0.0,2025-01-08 17:40:00
204,12,5.65,8.921052631578949,2025-01-08 19:07:55
98,1,2.34,3.51,2025-01-08 19:46:30
412,5,0.0,0.0,2025-01-08 20:26:00
187,2,4.58,6.801980198019802,2025-01-08 20:41:48
105,9,3.6,5.1923076923076925,2025-01-08 21:35:11
93,9,3.4400000000000004,4.961538461538463,2025-01-08 23:58:57
263,12,0.0,0.0,2025-01-09 00:00:00
106,8,3.55,5.664893617021277,2025-01-09 01:34:39
340,5,0.0,0.0,2025-01-09 03:48:00
498,1,5.34,8.01,2025-01-09 04:01:00
272,9,4.62,6.663461538461538,2025-01-09 09:55:39
361,15,0.0,0.0,2025-01-09 10:52:00
183,8,2.03,3.2393617021276597,2025-01-09 11:15:14
264,14,5.17,7.247663551401868,2025-01-09 11:37:14
169,8,2.22,3.542553191489363,2025-01-09 12:06:32
155,1,6.12,9.18,2025-01-09 12:44:10
270,7,5.67,8.257281553398057,2025-01-09 19:07:15
405,8,3.22,5.138297872340426,2025-01-09 23:36:08
229,14,2.45,3.4345794392523366,2025-01-10 01:28:26
379,9,4.72,6.807692307692307,2025-01-10 03:29:48
211,14,2.4699999999999998,3.462616822429906,2025-01-10 06:53:27
433,9,4.58,6.605769230769231,2025-01-10 09:47:36
398,6,0.0,0.0,2025-01-10 09:57:00
352,2,2.61,3.8762376237623766,2025-01-10 10:19:52
249,9,4.58,6.605769230769231,2025-01-10 10:30:36
431,9,2.2800000000000002,3.2884615384615388,2025-01-10 13:17:17
91,3,3.6799999999999997,5.3076923076923075,2025-01-10 14:48:18
254,8,3.1300000000000003,4.994680851063831,2025-01-10 17:47:59
185,2,5.69,8.450495049504951,2025-01-10 18:30:27
66,8,2.79,4.452127659574469,2025-01-10 18:55:27
44,5,6.97,9.504545454545456,2025-01-10 21:27:30
142,2,5.22,7.752475247524753,2025-01-11 02:38:45
76,6,0.0,0.0,2025-01-11 04:56:00
200,15,3.63,5.185714285714285,2025-01-11 06:21:11
257,9,3.0300000000000002,4.370192307692308,2025-01-11 06:33:22
344,10,5.11,8.423076923076923,2025-01-11 06:49:25
360,10,5.279999999999999,8.703296703296703,2025-01-11 09:19:42
349,9,4.390000000000001,6.33173076923077,2025-01-11 11:03:19
403,1,2.52,3.7800000000000002,2025-01-11 13:17:46
357,3,0.99,1.4278846153846154,2025-01-11 13:34:25
14,7,3.29,4.79126213592233,2025-01-11 13:40:47
262,1,1.25,1.875,2025-01-11 13:39:52
135,6,3.78,5.20183486238532,2025-01-11 15:40:12
453,8,4.48,7.148936170212768,2025-01-11 15:51:08
40,7,3.75,5.4611650485436884,2025-01-11 16:32:27
144,10,3.04,5.010989010989012,2025-01-11 17:36:00
104,9,3.45,4.975961538461538,2025-01-11 18:08:58
191,1,5.34,8.01,2025-01-11 18:42:00
220,9,4.54,6.548076923076923,2025-01-11 23:02:32
153,7,2.19,3.1893203883495143,2025-01-12 00:18:11
386,10,1.14,1.879120879120879,2025-01-12 00:22:52
482,14,3.0999999999999996,4.345794392523363,2025-01-12 03:06:20
303,9,3.76,5.423076923076923,2025-01-12 03:23:25
362,10,1.14,1.879120879120879,2025-01-12 05:12:52
281,15,5.25,7.5,2025-01-12 06:24:30
466,3,2.69,3.8798076923076916,2025-01-12 06:41:52
201,9,1.46,2.105769230769231,2025-01-12 09:45:06
342,8,2.1,3.351063829787235,2025-01-12 11:45:21
165,1,1.63,2.445,2025-01-12 12:43:26
15,14,3.7199999999999998,5.214953271028037,2025-01-12 14:58:12
393,3,2.55,3.677884615384615,2025-01-12 18:39:40
486,3,2.65,3.822115384615384,2025-01-12 19:13:49
328,7,0.0,0.0,2025-01-12 20:50:00
409,15,0.0,0.0,2025-01-12 22:33:00
33,14,2.44,3.4205607476635507,2025-01-13 00:54:25
206,3,1.91,2.754807692307692,2025-01-13 01:06:45
274,6,2.91,4.004587155963303,2025-01-13 03:41:00
372,14,1.01,1.4158878504672896,2025-01-13 05:11:24
167,15,6.12,8.742857142857142,2025-01-13 10:33:44
339,8,3.5700000000000003,5.696808510638299,2025-01-13 12:10:41
437,6,1.86,2.5596330275229358,2025-01-13 14:56:33
227,15,2.29,3.2714285714285714,2025-01-13 17:34:16
140,3,2.65,3.822115384615384,2025-01-13 23:24:49
261,6,4.03,5.545871559633027,2025-01-13 23:49:32
222,10,6.39,10.532967032967033,2025-01-14 00:16:31
166,6,3.36,4.623853211009174,2025-01-14 00:34:37
112,3,3.6799999999999997,5.3076923076923075,2025-01-14 01:38:18
74,6,4.33,5.958715596330276,2025-01-14 02:15:57
418,8,6.449999999999999,10.292553191489361,2025-01-14 03:39:17
97,9,1.46,2.105769230769231,2025-01-14 04:15:06
208,5,6.2,8.454545454545453,2025-01-14 04:31:27
172,6,3.43,4.720183486238532,2025-01-14 08:56:43
64,7,2.73,3.975728155339805,2025-01-14 10:09:58
173,7,4.21,6.131067961165048,2025-01-14 11:01:07
209,15,4.72,6.742857142857142,2025-01-14 12:58:44
429,7,0.0,0.0,2025-01-14 13:10:00
265,1,2.91,4.365,2025-01-14 13:59:21
189,6,5.17,7.114678899082569,2025-01-14 15:44:06
150,8,2.54,4.053191489361703,2025-01-14 17:00:03
59,3,0.0,0.0,2025-01-14 17:27:00
320,1,0.74,1.1099999999999999,2025-01-14 19:10:06
376,6,6.74,9.275229357798164,2025-01-14 20:55:16
414,8,2.54,4.053191489361703,2025-01-14 21:37:03
324,1,2.66,3.99,2025-01-15 00:55:59
26,14,6.05,8.481308411214952,2025-01-15 01:34:28
164,9,0.51,0.735576923076923,2025-01-15 02:41:44
481,3,6.390000000000001,9.216346153846155,2025-01-15 02:56:12
101,9,5.15,7.427884615384616,2025-01-15 03:01:25
68,5,4.72,6.4363636363636365,2025-01-15 05:29:26
459,6,5.640000000000001,7.761467889908257,2025-01-15 06:22:45
242,6,4.77,6.5642201834862375,2025-01-15 06:44:33
182,6,4.58,6.302752293577981,2025-01-15 07:29:18
306,13,5.73,8.681818181818183,2025-01-15 12:27:40
380,14,3.4299999999999997,4.808411214953271,2025-01-15 12:39:48
212,6,1.67,2.2981651376146788,2025-01-15 12:48:17
326,5,2.8,3.818181818181818,2025-01-15 13:49:49
115,7,4.21,6.131067961165048,2025-01-15 15:17:07
435,7,2.73,3.975728155339805,2025-01-15 17:33:58
480,1,5.08,7.62,2025-01-15 21:00:37
92,5,4.24,5.781818181818182,2025-01-15 22:28:46
329,5,1.54,2.1,2025-01-16 00:20:06
258,5,3.4800000000000004,4.745454545454546,2025-01-16 00:50:44
236,4,0.0,0.0,2025-01-16 01:48:00
392,5,4.28,5.836363636363637,2025-01-16 02:16:50
67,6,0.0,0.0,2025-01-16 10:12:00
80,5,3.8,5.181818181818182,2025-01-16 11:15:10
83,5,4.24,5.781818181818182,2025-01-16 12:25:46
88,7,0.42,0.6116504854368932,2025-01-16 17:01:36
253,9,4.77,6.879807692307692,2025-01-16 18:25:52
188,7,6.08,8.854368932038835,2025-01-16 19:36:51
103,3,0.0,0.0,2025-01-16 21:36:00
123,9,0.0,0.0,2025-01-16 22:05:00
434,5,1.8499999999999999,2.522727272727273,2025-01-16 23:13:31
175,14,4.17,5.845794392523364,2025-01-17 01:10:50
73,2,2.77,4.113861386138614,2025-01-17 02:17:06
368,5,0.0,0.0,2025-01-17 02:34:00
158,3,6.31,9.100961538461538,2025-01-17 06:11:06
10,1,3.54,5.31,2025-01-17 07:37:18
490,14,4.28,5.999999999999999,2025-01-17 09:27:00
364,15,4.66,6.6571428571428575,2025-01-17 10:04:39
190,9,6.59,9.504807692307692,2025-01-17 10:59:30
282,1,4.96,7.4399999999999995,2025-01-17 11:16:26
179,5,3.0,4.090909090909091,2025-01-17 11:37:05
127,8,0.0,0.0,2025-01-17 12:03:00
494,1,0.0,0.0,2025-01-17 13:33:00
408,6,7.26,9.990825688073395,2025-01-17 15:41:59
29,5,2.34,3.1909090909090905,2025-01-17 15:39:11
224,12,5.65,8.921052631578949,2025-01-17 15:50:55
278,15,5.09,7.2714285714285705,2025-01-17 17:34:16
491,5,0.48,0.6545454545454545,2025-01-17 17:36:39
136,9,3.55,5.120192307692307,2025-01-17 17:51:07
442,5,1.39,1.895454545454545,2025-01-17 19:08:53
139,7,3.79,5.519417475728154,2025-01-17 21:32:31
71,12,3.41,5.38421052631579,2025-01-17 23:06:23
497,2,4.3,6.386138613861386,2025-01-17 23:18:23
343,12,1.15,1.8157894736842104,2025-01-17 23:29:48
228,12,1.15,1.8157894736842104,2025-01-17 23:38:48
69,12,2.65,4.184210526315789,2025-01-18 00:54:11
387,2,4.21,6.252475247524753,2025-01-18 03:52:15
294,12,5.05,7.973684210526316,2025-01-18 04:26:58
377,14,0.36,0.5046728971962616,2025-01-18 06:56:30
363,5,3.89,5.304545454545455,2025-01-18 07:08:18
240,2,2.79,4.143564356435644,2025-01-18 07:20:08
323,7,3.42,4.980582524271845,2025-01-18 07:51:58
371,4,4.79,7.563157894736841,2025-01-18 07:58:33
460,7,6.07,8.839805825242717,2025-01-18 10:10:50
